simulation_id,SEM-0001,SEM-0002,SEM-0003,SEM-0004,SEM-0005,SEM-0006,SEM-0007,SEM-0008,SEM-0009,SEM-0010,SEM-0011,SEM-0012
0,54.559735992507285,89.3844651862549,59.915610609746786,66.42666015611563,65.25691757059342,50.82610340788144,50.37923030262835,50.41287031619376,49.426396674373585,49.5679663439928,69.25310910500116,68.65141780545734
1,43.40069902992166,83.45126679719397,53.98241222068584,60.493461767054704,59.32371918153249,50.5125696934989,50.06569658824582,50.09933660181123,49.112862959991055,49.254432629610264,68.62622419917554,68.02453289963172
2,43.15362292273132,87.26460544380699,57.79575086729886,64.30680041366772,63.1370578281455,51.074006348705346,50.62713324345226,50.66077325701767,49.67429961519749,49.815869284816706,68.87166197380702,68.26997067426322
3,57.28216332045656,92.03164443330056,62.562789856792435,69.0738394031613,67.90409681763909,51.54927757442251,51.102404469169436,51.136044482734846,50.14957084091467,50.291140510533886,70.0428512296353,69.44115993009149
4,52.47549272476532,87.99771529263894,58.528860716130815,65.03991026249967,63.87016767697746,52.423946271653065,51.977073166399975,52.010713179965386,51.02423953814521,51.165809207764426,70.05215317041846,69.45046187087465
5,46.557436293265255,85.97719083797547,56.50833626146735,63.019385807836215,61.849643222314,53.37441361857872,52.927540513325646,52.96118052689104,51.97470688507087,52.11627655469009,70.0634611072657,69.46176980772188
6,41.7776220422155,87.3255616023841,57.85670702587598,64.36775657224484,63.19801398672262,49.89547297804084,49.44859987278776,49.48223988635316,48.495766244533,48.63733591415221,68.24179304112383,67.64010174158001
7,43.379048386008975,85.0977545227814,55.62889994627328,62.139949492642145,60.97020690711993,49.727005461220905,49.28013235596782,49.313772369533226,48.32729872771305,48.468868397332265,68.41163106047172,67.8099397609279
8,42.895559009331855,84.79093042898765,55.32207585247952,61.83312539884839,60.66338281332617,50.968598300493674,50.521725195240585,50.555365208805995,49.56889156698582,49.71046123660503,68.98378520809023,68.38209390854641
9,52.09037498053256,86.13469544399223,56.66584086748409,63.17689041385296,62.007147828330744,53.852951212868824,53.40607810761574,53.439718121181144,52.45324447936098,52.5948141489802,70.81701497267612,70.2153236731323
10,53.885407502607954,88.93193050575006,59.46307592924194,65.9741254756108,64.80438289008859,50.77167914780678,50.3248060425537,50.358446056119114,49.37197241429894,49.513542083918146,69.66334984883586,69.06165854929206
11,44.29593469700008,85.56642989069738,56.09757531418924,62.6086248605581,61.43888227503589,50.6541663816505,50.20729327639742,50.24093328996283,49.25445964814266,49.39602931776187,69.00535708819481,68.403665788651
12,51.734248960236684,88.81732769039694,59.34847311388881,65.85952266025768,64.68978007473545,53.400047158516905,52.953174053263815,52.986814066829226,52.00034042500905,52.141910094628265,70.80466865104212,70.20297735149832
13,43.00864747125208,85.82833924686479,56.35948467035665,62.87053421672552,61.7007916312033,48.731588663182556,48.28471555792947,48.31835557149488,47.3318819296747,47.47345159929392,67.91786719460323,67.31617589505942
14,41.4884601062574,84.26005468156316,54.79120010505504,61.3022496514239,60.132507065901684,49.93953167315542,49.49265856790234,49.52629858146774,48.53982493964758,48.68139460926679,68.406674981221,67.80498368167719
15,49.98421030065221,88.40282335016316,58.93396877365503,65.44501832002389,64.27527573450168,49.91073340078176,49.463860295528676,49.49750030909408,48.5110266672739,48.65259633689312,68.6701632238818,68.06847192433798
16,51.02987348251469,88.17637432009025,58.707519743582125,65.21856928995098,64.04882670442876,49.884182965149826,49.437309859896736,49.470949873462146,48.48447623164197,48.626045901261186,68.96085295077873,68.35916165123493
17,49.40604544125232,85.57046846584265,56.10161388933454,62.61266343570339,61.44292085018118,48.74860257138729,48.30172946613421,48.33536947969962,47.348895837879446,47.490465507498655,68.17772021011041,67.5760289105666
18,58.67600552079387,89.24533704957338,59.77648247306525,66.28753201943411,65.1177894339119,52.603398978420145,52.156525873167055,52.190165886732466,51.20369224491229,51.34526191453151,70.700715095833,70.09902379628919
19,43.69611179367537,86.2152729959857,56.74641841947757,63.25746796584644,62.08772538032422,49.60161518064141,49.15474207538833,49.18838208895373,48.201908447133555,48.34347811675277,68.4427873616888,67.841096062145
20,48.89632300415123,86.73704066139621,57.268186084888086,63.779235631256945,62.60949304573473,52.292689456809605,51.845816351556515,51.879456365121925,50.89298272330176,51.03455239292097,69.92396161638139,69.32227031683757
21,52.24682149892562,89.48225345532877,60.013398878820645,66.5244484251895,65.35470583966729,49.655777544842806,49.208904439589716,49.242544453155126,48.256070811334965,48.39764048095417,68.59611573150498,67.99442443196118
22,44.4864806872232,86.75652503494335,57.28767045843522,63.79872000480409,62.628977419281874,51.82169650316716,51.37482339791407,51.408463411479474,50.42198976965931,50.56355943927853,69.15876945253491,68.55707815299111
23,52.280340540852265,92.231467775676,62.76261319916786,69.27366274553673,68.10392016001451,49.73204308390669,49.285169978653606,49.318809992219016,48.33233635039884,48.473906020018056,69.00393215443869,68.40224085489488
24,52.48240910545634,89.55456128813202,60.085706711623885,66.59675625799275,65.42701367247054,51.41593504264726,50.96906193739418,51.00270195095958,50.01622830913941,50.15779797875862,69.82250350644297,69.22081220689917
25,52.943854874289684,86.80278660088621,57.33393202437808,63.84498157074694,62.67523898522472,52.5191390557165,52.07226595046342,52.10590596402882,51.119432322208645,51.26100199182786,70.04527126617272,69.4435799666289
26,44.11698444258962,87.1497744847866,57.68091990827847,64.19196945464734,63.02222686912512,49.12774992968208,48.680876824429,48.7145168379944,47.72804319617424,47.86961286579346,68.07149176823893,67.46980046869511
27,44.728873895909004,84.2611858219374,54.79233124542926,61.303380791798126,60.133638206275904,51.74675211759953,51.29987901234644,51.33351902591185,50.34704538409168,50.488615053710895,69.25769828835907,68.65600698881525
28,45.061879986001344,85.84342134359477,56.374566767086634,62.88561631345551,61.71587372793328,50.22108059693111,49.774207491678034,49.807847505243444,48.82137386342327,48.96294353304248,68.55241279723057,67.95072149768677
29,40.50800162826201,84.13956948921651,54.670714912708384,61.18176445907725,60.012021873555035,52.63051065894678,52.18363755369371,52.2172775672591,51.23080392543894,51.37237359505815,69.56731553406861,68.96562423452481
30,46.88406579691462,86.01665570283004,56.54780112632191,63.05885067269077,61.88910808716855,51.05993077181862,50.61305766656553,50.646697680130934,49.660224038310766,49.801793707929974,69.05754482895469,68.45585352941087
31,43.307512904733954,84.95180245422536,55.48294787771722,61.99399742408609,60.824254838563874,52.47121852847897,52.02434542322588,52.057985436791284,51.071511794971116,51.213081464590324,69.75728367183677,69.15559237229296
32,40.69334742969632,84.04663064619842,54.57777606969029,61.088825616059154,59.91908303053693,48.45564730399035,48.00877419873727,48.042414212302674,47.055940570482505,47.197510240101714,67.56208758615573,66.96039628661191
33,40.92914608776954,84.3153687519148,54.84651417540668,61.35756372177554,60.187821136253326,47.79716589180209,47.350292786549,47.3839328001144,46.39745915829424,46.539028827913455,67.32502697561713,66.72333567607332
34,57.26753032153705,91.9092998977062,62.44044532119808,68.95149486756694,67.78175228204472,52.888461297884284,52.44158819263121,52.47522820619661,51.488754564376435,51.63032423399565,70.53152398286159,69.92983268331778
35,44.11675641752636,86.23166214457959,56.76280756807146,63.27385711444031,62.10411452891811,47.70589036841872,47.25901726316564,47.29265727673104,46.306183634910866,46.44775330453008,67.72055488858425,67.11886358904043
36,52.340051547633315,89.85656355176378,60.38770897525566,66.89875852162453,65.72901593610231,51.06871814932789,50.62184504407481,50.65548505764021,49.66901141582005,49.81058108543927,69.39349643673381,68.79180513719
37,48.125026897399685,84.933590564646,55.46473598813786,61.97578553450672,60.806042948984505,53.050519661013006,52.60364655575993,52.63728656932534,51.650812927505164,51.79238259712437,70.00166520872433,69.39997390918053
38,43.887219782851794,85.25251206657559,55.78365749006746,62.29470703643633,61.124964450914106,50.747221455093694,50.300348349840604,50.333988363406014,49.34751472158584,49.489084391205054,68.93264092202125,68.33094962247743
39,52.30910551530798,88.5346563587572,59.065801782249075,65.57685132861795,64.40710874309573,50.54629333327097,50.09942022801788,50.13306024158328,49.14658659976311,49.28815626938232,69.49090614924893,68.88921484970513
40,52.18472208372097,88.74092606720085,59.272071490692724,65.78312103706159,64.61337845153938,54.402934581354124,53.956061476101034,53.989701489666444,53.00322784784627,53.14479751746549,70.97849723240279,70.37680593285897
41,51.30330684878711,86.72322882336535,57.25437424685721,63.76542379322607,62.595681207703855,51.53170973471549,51.084836629462416,51.11847664302782,50.13200300120765,50.27357267082686,69.75961996165209,69.15792866210828
42,40.74403930591296,83.92132427297999,54.45246969647186,60.963519242840725,59.79377665731851,49.693244417342,49.24637131208892,49.28001132565433,48.29353768383415,48.43510735345337,68.16333832317002,67.56164702362621
43,39.737114507147254,83.52465134704225,54.05579677053412,60.56684631690299,59.397103731380774,47.29965620812489,46.85278310287181,46.886423116437214,45.89994947461704,46.041519144236254,67.18625736026458,66.58456606072077
44,42.64070720603656,85.38553549923424,55.9166809227261,62.42773046909497,61.25798788357275,48.89493811683961,48.44806501158653,48.48170502515193,47.495231383331756,47.63680105295097,68.15272811406659,67.55103681452277
45,47.00406869756509,88.71220829800535,59.24335372149723,65.7544032678661,64.58466068234388,49.39349554492164,48.94662243966855,48.980262453233955,47.99378881141379,48.13535848103301,68.52977780609653,67.92808650655272
46,45.62553313742207,84.57305717181018,55.104202595302034,61.615252141670894,60.44550955614868,51.04721618033575,50.60034307508266,50.63398308864807,49.64750944682791,49.78907911644712,68.98699450027776,68.38530320073396
47,44.265210874630164,85.44835933426359,55.979504757755464,62.49055430412432,61.32081171860211,52.64085290508179,52.19397979982872,52.22761981339412,51.241146171573945,51.38271584119316,69.92230798616728,69.32061668662348
48,52.93307001828372,89.61950136754182,60.150646791033694,66.66169633740256,65.49195375188035,49.17522249519437,48.728349389941286,48.76198940350669,47.77551576168653,47.917085431305736,68.8011322700262,68.19944097048239
49,40.875271096877135,84.21501591426141,54.746161337753286,61.257210884122145,60.08746829859993,49.846610936046574,49.39973783079349,49.433377844358894,48.44690420253873,48.58847387215795,68.39204620307768,67.79035490353388
50,48.75827957020236,85.69738761387558,56.22853303736745,62.73958258373631,61.56983999821409,53.305691700896304,52.85881859564322,52.892458609208624,51.90598496738845,52.047554637007664,70.36379960418559,69.76210830464179
51,47.94276472526386,85.3637977589955,55.89494318248737,62.40599272885623,61.23625014333401,50.03319960852003,49.58632650326694,49.61996651683235,48.63349287501219,48.775062544631396,68.8300170171329,68.2283257175891
52,46.777856208055994,87.96123757877035,58.4923830022622,65.00343254863107,63.83368996310885,52.688748192301084,52.24187508704801,52.275515100613404,51.289041458793236,51.43061112841245,69.88107557284712,69.27938427330331
53,53.16890093839124,89.74015236487581,60.27129778836768,66.78234733473654,65.61260474921433,51.76581789118874,51.31894478593566,51.35258479950107,50.36611115768089,50.507680827300106,70.19126466913602,69.5895733695922
54,42.14222892473738,85.1097930670757,55.64093849056757,62.15198803693644,60.982245451414215,51.47160881109992,51.02473570584684,51.05837571941224,50.07190207759208,50.213471747211294,69.0791123637258,68.47742106418198
55,47.67343989504642,87.18872869438538,57.71987411787725,64.2309236642461,63.06118107872389,50.157584026442294,49.710710921189204,49.744350934754614,48.757877292934445,48.89944696255366,69.02674724583713,68.42505594629333
56,45.17585388754415,88.71906327997054,59.25020870346241,65.76125824983127,64.59151566430906,48.32244476390288,47.8755716586498,47.9092116722152,46.92273803039504,47.064307700014254,67.68475782984542,67.08306653030162
57,43.663268256074424,86.14809272261338,56.67923814610526,63.19028769247412,62.02054510695191,50.12088917044982,49.67401606519674,49.70765607876214,48.721182436941966,48.86275210656118,68.53768171486378,67.93599041531996
