ecosystem_id,company,agency,url,document_type,company_match,rating_date,rating_symbols,cra_default_rating_event,rating_upgrade_event,rating_downgrade_event,negative_outlook_flag,issuer_non_cooperating_flag
MFG-0001,Micron Technology Inc.,CARE Ratings,https://careratings.com/upload/CompanyFiles/PR/202512121227_Micron_Instruments_Private_Limited.pdf,"ERROR:HTTPSConnectionPool(host='careratings.com', port=443): Max retries exceeded with url: /upload/CompanyFiles/PR/202512121227_Micron_Instruments_Private_Limited.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x311dd11d0>: Failed to resolve 'careratings.com' ([Errno 8] nodename nor servname provided, or not known)""))",0,,,,,,,
MFG-0002,Tata Electronics Private Limited,ICRA,https://www.icra.in/Content/PDF/Non+Accepted+Ratings.pdf,ERROR:404 Client Error: Not Found for url: https://www.icra.in/Content/PDF/Non+Accepted+Ratings.pdf,0,,,,,,,
