model,MAE,RMSE,R2
Random Forest,0.20064982213976376,0.30860906461270254,-0.11767165343887909
Ridge Regression,0.17669472613770995,0.3163763949202285,-0.17464064967527437
Gradient Boosting,0.18071117633861727,0.31716793440437663,-0.1805256497344212
Linear Regression,0.2315060732143659,0.4284446118836565,-1.1542011382142974
