project_id,company,project_type,project_group,state,approval_date,approval_year,investment_crore,investment_category,capacity_value,capacity_unit,capacity_category,technology,technology_partner,source_document,source_page,source,data_quality_flag,project_type_standardized,state_verified
SEM-0011,Crystal Matrix Limited,Compound Semiconductor Fab + ATMP,Fabrication,Gujarat,2026-05-05,2026,3068,Medium,72000.0,sq metres display panels/year,Display Capacity,"GaN compound semiconductor fabrication; Mini/Micro-LED display modules; GaN foundry services including epitaxy on 6-inch wafers; additional capacity: 24,000 sets of RGB GaN wafers/year",,PIB Cabinet Release ID 2258116 / PIB Crystal Matrix Fact Sheet,WEB,"Press Information Bureau, Government of India",OK,FAB,True
SEM-0012,Suchi Semicon Private Limited,OSAT,Packaging_Testing,Gujarat,2026-05-05,2026,868,Small,1033.2,million chips/year,Annual Chip Capacity,OSAT for discrete semiconductors; Lead Frame and Wirebond Packaging,,PIB Cabinet Release ID 2258116 / PIB Suchi Semicon Fact Sheet,WEB,"Press Information Bureau, Government of India",OK,OSAT,True
