year,rbi_electronics_credit_crore,rbi_electronics_credit_growth_pct,rbi_electronics_credit_growth_volatility
2019,39888.57,,
2020,32448.62,-18.651834347533647,
2021,35486.51382,9.362166465014532,19.80888994271827
2022,36745.333901,3.547319658913728,14.78399542019364
2023,40836.84364,11.13477360152293,3.969131659234745
2024,43395.91409,6.266572589594976,3.8441118377064907
2025,52863.09654,21.81583830764746,7.953659416892725
2026,59905.30703,13.32160041868029,7.785725820950973
