dli_project_id,candidate_id,company,project_scope,scheme,project_type,approval_year,state,investment_crore,project_value_crore,technology,application,chip_node,tapeout_status,fabrication_status,official_source_count,source_names,source_urls,evidence_excerpt,data_quality_flag,manual_review_required,final_verification_status,review_notes
DLI-001,DLI-CAND-001,Application-Specific Integrated Circuits,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,,,,,ASIC; IP Core; SoC,,,,,2,PIB DLI June 2026; PIB Lok Sabha DLI Status March 2026,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2245069&lang=1&reg=1; https://www.pib.gov.in/PressReleasePage.aspx?PRID=2276447&lang=2&reg=48,"The Government is promoting semiconductor design capabilities through the Design Linked Incentive (DLI) Scheme, which aims to support domestic companies, start-ups, and MSMEs in designing semiconductor IP cores, ASICs (Application-Specific Integrated Circuits), SoCs (System on Chip), and semiconductor-linked designs through a three-tier framework, comprising: Design Infrastructure Support with access to EDA tools, IP cores, MPW services, and prototyping facilities; Product Design Linked Incentive offering reimbursement of up to 50% of eligible project costs, capped at Rs. The Government is promoting semiconductor design capabilities through the Design Linked Incentive (DLI) Scheme, which aims to support domestic companies, start-ups, and MSMEs in designing semiconductor IP cores, ASICs (Application-Specific Integrated Circuits), SoCs (System on Chip), and semiconductor-linked designs through a three-tier framework, comprising: Design Infrastructure Support with access to EDA tools, IP cores, MPW services, and prototyping facilities; Product Design Linked Incentive offering reimbursement of up to 50% of eligible project costs, capped at Rs. It also supports startup incubation, patent generation, technology transfer, and advanced research in Very Large-Scale Integration (VLSI), Application-Specific Integrated Circuits (ASICs), System-on-Chip (SoC) design, and embedded systems. It also supports startup incubation, patent generation, technology transfer, and advanced research in ",REVIEW_REQUIRED,YES,PENDING_STRUCTURED_VERIFICATION,
DLI-002,DLI-CAND-005,Vervesemi Microelectronics,Semiconductor Design,Design Linked Incentive (DLI),Semiconductor Design,2017.0,,,,,,,,,1,PIB Vervesemi DLI Success Story,https://www.pib.gov.in/PressReleasePage.aspx?PRID=2229659&lang=1&reg=3,"Press Release Page | Press Information Bureau Ministry of Electronics & IT DLI Scheme-backed Chip Design Startup — Vervesemi Microelectronics Raises $10 Million In A Series A Funding Round Supported by the Govt. Vervesemi Microelectronics Among these, Vervesemi Microelectronics, the first company approved under the Government of India’s DLI Scheme and also supported under the Chips to Startup (C2S) programme, was founded in 2017 by industry veterans with experience at global semiconductor company. **** MSZ (Release ID: 2229659) Visitor Counter : 1356 Read this release in: Urdu , हिन्दी , Telugu Ministry of Electronics & IT DLI Scheme-backed Chip Design Startup — Vervesemi Microelectronics Raises $10 Million In A Series A Funding Round Supported by the Govt. Vervesemi Microelectronics Among these, Vervesemi Microelectronics, the first company approved under the Government of India’s DLI Scheme and also supported under the Chips to Startup (C2S) programme, was founded in 2017 by industry veterans with experience at global semiconductor company.",REVIEW_REQUIRED,YES,PENDING_STRUCTURED_VERIFICATION,
