sector_id,sr_no,sector,year,credit_crore
2.8  ,2.8  ,"Petroleum, Coal Products and Nuclear Fuels",2021,79173.88612
2.9  ,2.9  ,Chemicals and Chemical Products,2021,184952.9264
2.9.1  ,2.9.1  ,Fertiliser,2021,32413.7444
2.9.2  ,2.9.2  ,Drugs and Pharmaceuticals,2021,54077.22842
2.9.3  ,2.9.3  ,Petro Chemicals,2021,28011.68184
2.9.4  ,2.9.4  ,Others,2021,70450.27177
2.10  ,2.10  ,"Rubber, Plastic and their Products",2021,56026.05774
2.11  ,2.11  ,Glass and Glassware,2021,6582.735659
2.12  ,2.12  ,Cement and Cement Products,2021,57610.08978
2.13  ,2.13  ,Basic Metal and Metal Product,2021,305457.1987
2.13.1  ,2.13.1  ,Iron and Steel,2021,218852.728
2.13.2  ,2.13.2  ,Other Metal and Metal Product,2021,86604.47072
2.14  ,2.14  ,All Engineering,2021,153532.1829
2.14.1  ,2.14.1  ,Electronics,2021,35486.51382
2.14.2  ,2.14.2  ,Others,2021,118045.6691
2.15  ,2.15  ,"Vehicles, Vehicle Parts and Transport Equipment",2021,85892.30051
2.16  ,2.16  ,Gems and Jewellery,2021,74381.83894
2.17  ,2.17  ,Construction,2021,119670.3416
2.18  ,2.18  ,Infrastructure,2021,1111675.253
2.18.1  ,2.18.1  ,Power,2021,571028.2991
2.18.2  ,2.18.2  ,Telecommunications,2021,114960.8208
2.18.3  ,2.18.3  ,Roads,2021,234088.4362
2.18.4  ,2.18.4  ,Airports,2021,8573.41
2.18.5  ,2.18.5  ,Ports,2021,10152.8
2.18.6  ,2.18.6  ,Railways (other than Indian Railways),2021,12471.11
2.18.7  ,2.18.7  ,Other Infrastructure,2021,160400.3766
2.19  ,2.19  ,Other Industries,2021,219105.7224
,,Industries (2.1 to 2.19),2021,2940570.692
2.1  ,2.1  ,Mining and Quarrying (incl. Coal),2022,50352.797441
2.2  ,2.2  ,Food Processing,2022,171988.79019
2.2.1  ,2.2.1  ,Sugar,2022,25792.265018
2.2.2  ,2.2.2  ,Edible Oils and Vanaspati,2022,17384.054944
2.2.3  ,2.2.3  ,Tea,2022,5685.199499
2.2.4  ,2.2.4  ,Others,2022,123127.27073
2.3  ,2.3  ,Beverage and Tobacco,2022,18475.74327
2.4  ,2.4  ,Textiles,2022,224314.895866
2.4.1  ,2.4.1  ,Cotton Textiles,2022,88625.279138
2.4.2  ,2.4.2  ,Jute Textiles,2022,3288.09319
2.4.3  ,2.4.3  ,Man-Made Textiles,2022,37406.285376
2.4.4  ,2.4.4  ,Other Textiles,2022,94995.238162
2.5  ,2.5  ,Leather and Leather Products,2022,11877.34168
2.6  ,2.6  ,Wood and Wood Products,2022,17334.741726
2.7  ,2.7  ,Paper and Paper Products,2022,41825.500609
2.8  ,2.8  ,"Petroleum, Coal Products and Nuclear Fuels",2022,106442.513209
2.9  ,2.9  ,Chemicals and Chemical Products,2022,203139.168898
2.9.1  ,2.9.1  ,Fertiliser,2022,33936.919783
2.9.2  ,2.9.2  ,Drugs and Pharmaceuticals,2022,63931.07682
2.9.3  ,2.9.3  ,Petro Chemicals,2022,19708.024706
2.9.4  ,2.9.4  ,Others,2022,85563.147589
2.10  ,2.10  ,"Rubber, Plastic and their Products",2022,76854.542552
2.11  ,2.11  ,Glass and Glassware,2022,7146.366057
2.12  ,2.12  ,Cement and Cement Products,2022,48604.6475659999
2.13  ,2.13  ,Basic Metal and Metal Product,2022,286129.20314
2.13.1  ,2.13.1  ,Iron and Steel,2022,185580.671762
