dataset,safe_path,observations,features,feature_names
Manufacturing_Stress_Testing_Final,/Users/shashankyadav/Library/CloudStorage/OneDrive-WOXSENUNIVERSITY/Semiconductor_Credit_Risk_ML/99_Audit/Full_Project_Audit_20260823_215329/SAFE_Manufacturing_Stress_Testing_Final_Z_ONLY.csv,12,6,z_financial_size_relative_to_scope_max; z_state_financial_share_within_scope; z_rbi_electronics_credit_growth_pct; z_rbi_electronics_credit_growth_volatility; z_gross_npa_growth_pct; z_npa_addition_pressure
Ecosystem_Clustering_Final,/Users/shashankyadav/Library/CloudStorage/OneDrive-WOXSENUNIVERSITY/Semiconductor_Credit_Risk_ML/99_Audit/Full_Project_Audit_20260823_215329/SAFE_Ecosystem_Clustering_Final_Z_ONLY.csv,36,12,z_financial_rank_within_scope; z_state_financial_share_within_scope; z_company_project_count; z_is_manufacturing; z_is_fab; z_is_osat; z_is_ai_related; z_is_telecom_related; z_is_automotive_related; z_is_iot_related; z_is_medical_related; z_has_technology_partner
