resource,error
01_Raw_Data/RBI/Sectoral_Credit/PR2858SD27042018.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR444SDBC30062022.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1936SDBC31032022.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PRSD28042023.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR89229092017.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR676SD31072023.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1375S301116.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR177929122017.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1209SD31102023.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR3544SD30062017.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/IEPR1623SD022015_S1.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR502SD30062023.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR558AN31082016.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/IEPR1826SD022015_S1.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/Sectoral30092021.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/IEPR2308SD300415.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1999SDB28022020.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2569SD30042019.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR581SIBC28062024.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR119131102017.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR149530112017.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR413SIBC31052024.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1300SDB29112019.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SDBC31122021.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PRSD31012023.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR596EN31082017.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR3081SD28062019.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SDBC31012022.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SDC31032021FL_S1.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1273S1115.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR285SDBC31052022.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SDBC29102020.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SDBC30112021.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SDBC29102021.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1805ST31012019.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR10423010AS.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/IEPR2069AS0315.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SIBCPR183231122024.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR2298SD30042020.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PRSD30092022.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SIBC30082024.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/SIBC30092024.xlsx,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
01_Raw_Data/RBI/Sectoral_Credit/PR1724S30122016.xls,"READ_ERROR: Excel file format cannot be determined, you must specify an engine manually."
