ecosystem_id,z_financial_rank_within_scope,z_state_financial_share_within_scope,z_company_project_count,z_is_manufacturing,z_is_fab,z_is_osat,z_is_ai_related,z_is_telecom_related,z_is_automotive_related,z_is_iot_related,z_is_medical_related,z_has_technology_partner
MFG-0001,1.059702711889993,1.7386574611760803,-0.3535533905932739,1.4142135623730951,-0.3015113445777636,-0.4472135954999579,-0.4016096644512493,-0.4472135954999579,-0.3015113445777636,-0.3535533905932738,-0.2425356250363329,-0.4472135954999579
MFG-0002,1.6377223729208987,1.7386574611760803,2.82842712474619,1.4142135623730951,3.3166247903553994,-0.4472135954999579,-0.4016096644512493,-0.4472135954999579,-0.3015113445777636,-0.3535533905932738,-0.2425356250363329,2.23606797749979
MFG-0003,1.3487125424054458,-0.5810306028185249,2.82842712474619,1.4142135623730951,-0.3015113445777636,2.23606797749979,-0.4016096644512493,-0.4472135954999579,-0.3015113445777636,-0.3535533905932738,-0.2425356250363329,-0.4472135954999579
MFG-0004,0.7706928813745404,1.7386574611760803,-0.3535533905932739,1.4142135623730951,-0.3015113445777636,2.23606797749979,-0.4016096644512493,-0.4472135954999579,-0.3015113445777636,-0.3535533905932738,-0.2425356250363329,2.23606797749979
MFG-0005,0.1926732203436349,1.7386574611760803,-0.3535533905932739,1.4142135623730951,-0.3015113445777636,2.23606797749979,-0.4016096644512493,-0.4472135954999579,-0.3015113445777636,-0.3535533905932738,-0.2425356250363329,2.23606797749979
MFG-0006,0.4816830508590874,-1.1148262797329875,-0.3535533905932739,1.4142135623730951,-0.3015113445777636,2.23606797749979,-0.4016096644512493,-0.4472135954999579,-0.3015113445777636,-0.3535533905932738,-0.2425356250363329,2.23606797749979
MFG-0007,-0.6743562712027237,-1.1079184429641709,-0.3535533905932739,1.4142135623730951,-0.3015113445777636,-0.4472135954999579,-0.4016096644512493,-0.4472135954999579,-0.3015113445777636,-0.3535533905932738,-0.2425356250363329,-0.4472135954999579
MFG-0008,-0.3853464406872707,-1.1079184429641709,-0.3535533905932739,1.4142135623730951,3.3166247903553994,-0.4472135954999579,-0.4016096644512493,-0.4472135954999579,-0.3015113445777636,-0.3535533905932738,-0.2425356250363329,2.23606797749979
MFG-0009,-1.541385762749082,-1.1966488083246851,-0.3535533905932739,1.4142135623730951,-0.3015113445777636,-0.4472135954999579,-0.4016096644512493,-0.4472135954999579,-0.3015113445777636,-0.3535533905932738,-0.2425356250363329,-0.4472135954999579
MFG-0010,-1.2523759322336294,-1.1883730830867951,-0.3535533905932739,1.4142135623730951,-0.3015113445777636,2.23606797749979,-0.4016096644512493,-0.4472135954999579,-0.3015113445777636,-0.3535533905932738,-0.2425356250363329,2.23606797749979
MFG-0011,-0.096336610171818,1.7386574611760803,-0.3535533905932739,1.4142135623730951,3.3166247903553994,-0.4472135954999579,-0.4016096644512493,-0.4472135954999579,-0.3015113445777636,-0.3535533905932738,-0.2425356250363329,-0.4472135954999579
MFG-0012,-0.9633661017181764,1.7386574611760803,-0.3535533905932739,1.4142135623730951,-0.3015113445777636,2.23606797749979,-0.4016096644512493,-0.4472135954999579,-0.3015113445777636,-0.3535533905932738,-0.2425356250363329,-0.4472135954999579
