dataset,file_role,read_status,rows,columns,duplicate_rows,empty_rows,missing_cells_pct,infinite_values,duplicate_columns,content_hash
01_Raw_Data/Semiconductor/Semiconductor_Investment/Extracted_Investment_Data/Semiconductor_Investment_High_Confidence.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,10,11,0,0,11.8182,0,0,0e94966407453301fb751c096f89a10e263622672fa07af1a57f800a9a6049ac
01_Raw_Data/Semiconductor/Semiconductor_Investment/Extracted_Investment_Data/Semiconductor_Investment_Master_Raw.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,51,11,0,0,31.3725,0,0,cbcee6e1e13a036ba4b96c9e6438ea1e247ff359dd49c97e598974f2a4da4cf4
01_Raw_Data/Semiconductor/Semiconductor_Investment/Extracted_Investment_Data/Semiconductor_Investment_Clean.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,41,9,0,0,36.0434,0,0,2bfd75262645161a8f8270aa76f727be90f70048d30699e60be8d5cd20a3dba4
01_Raw_Data/RBI/Banking_Stress/_6.Movement of Non Performing Assets (NPAs) of Scheduled Commercial Banks.xlsx :: SHEET=Report 1,RBI_SOURCE_OR_DERIVED,READ_OK,1988,10,288,4,20.2616,0,0,fcad553ddb08eca733a8912cfe3abf96d8c6504d72a11dfaf53b90fbca05a58e
01_Raw_Data/RBI/RBI_Master/RBI_Integration_Input_Snapshot.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,6,5,0,0,0.0,0,0,675d09c1daea273acdf879e2db562cbb8a18d326149ce471e739d9c7bea11135
01_Raw_Data/RBI/RBI_Master/RBI_NPA_Data.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,1984,10,285,0,20.1008,0,0,419a4f70d740d0e913c3db1aef791fe543bc033bc385214e98ec9aa44b42d077
01_Raw_Data/RBI/RBI_Master/RBI_Industry_Wise_Credit_2019_2026.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,49,11,0,0,17.2542,0,0,69c2993bedfd31176dba2a7ac87a0c9dd413a3d2d93e7953b9a74b7e850fab35
01_Raw_Data/RBI/RBI_Master/RBI_Industry_Credit_Clean_2019_2026.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,36,22,0,0,0.1263,0,0,3cf675bef04ca2739b69c458611072d8448495ec785119d6a78275f00c57e5d2
01_Raw_Data/RBI/RBI_Master/RBI_NPA_Features.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,0,10,0,0,0.0,0,0,83fba936c064dc9f0a5a57268a1eda4b06820d3faf0b51a03e7b6d9b2f67eefe
01_Raw_Data/RBI/RBI_Master/RBI_Industry_Credit_Long_2019_2026.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,288,5,0,0,3.0556,0,0,1672c23e6d9c6296f2aba0b9b0cafdde817f9a890e0a874591101d644b16fb3d
01_Raw_Data/RBI/RBI_Master/RBI_Latest_Sectoral_Credit.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,636,13,0,0,22.7383,0,0,aa6a44e0ab4a4b48a2f2364004d7ab95ffb3d1476b3d4c4c3c05f4369b466603
01_Raw_Data/RBI/RBI_Master/RBI_NPA_Clean.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,0,16,0,0,0.0,0,0,da521c9b01746ac13072607873ca5e176125e039f6ddda2f0fdf17faf791d51a
01_Raw_Data/RBI/Audit/RBI_Column_Inventory.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,193,5,0,0,0.0,0,0,a30267d1787db2486a362e5c6aa1662bcece065517c27322a695170931c709b0
01_Raw_Data/RBI/Audit/RBI_Sector_Relevant_Variables.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,8,3,0,0,0.0,0,0,3a244e8e2acd4c8358ee28319759c8525b825f644f966c6fa545955ee67fd80b
01_Raw_Data/RBI/Audit/RBI_Banking_Variables.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,16,3,0,0,0.0,0,0,42b87edec5a13b24e0839f9431d4109bfe17bc0581df33a4da33d10e2f6aa8e2
01_Raw_Data/RBI/Audit/RBI_Dataset_Summary.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,19,5,0,0,0.0,0,0,82d5fd521f1d3084686f2ce5405b7e90e46c425f4b6bfa48ea3ffbd4713513a1
01_Raw_Data/RBI/Audit/RBI_Potential_Join_Keys.csv,RBI_SOURCE_OR_DERIVED,READ_OK_utf-8-sig,16,2,0,0,0.0,0,0,0bc7b9ddca891348ab0fb3484ca3d404022574810c928ce12692696497136eb0
01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx :: SHEET=Statement 1,RBI_SOURCE_OR_DERIVED,READ_OK,58,10,0,0,19.4828,0,0,6e71f8c0b01f656ee0dfd9d53e9a484835eb7effece08330a79026d9d7ab188d
01_Raw_Data/RBI/Sectoral_Credit/SIBCS29052026.xlsx :: SHEET=Statement 2,RBI_SOURCE_OR_DERIVED,READ_OK,48,10,0,0,6.4583,0,0,8b4cc0dc2fede131c9f3016c592d29f96ccd32451cbe932befe17f53b77d3db6
01_Raw_Data/RBI/Sectoral_Credit/SIBCS30042026.xlsx :: SHEET=Statement 1,RBI_SOURCE_OR_DERIVED,READ_OK,58,6,0,0,18.3908,0,0,c351d9371a57a72064d70e0f6aa38d59edf99102c15be91cc364973bd679ffc9
01_Raw_Data/RBI/Sectoral_Credit/SIBCS30042026.xlsx :: SHEET=Statement 2,RBI_SOURCE_OR_DERIVED,READ_OK,48,6,0,0,6.25,0,0,8cdb285562706e50ab019ae1c4f96af89746baf872024c6dc82abd06c6a151b6
01_Raw_Data/RBI/Sectoral_Credit/SIBC30032026.xlsx :: SHEET=Statement 1,RBI_SOURCE_OR_DERIVED,READ_OK,58,10,0,0,19.4828,0,0,87152f9554075025881986eda28d6ccb60a1a81f99002a58f6c416984bfb6363
01_Raw_Data/RBI/Sectoral_Credit/SIBC30032026.xlsx :: SHEET=Statement 2,RBI_SOURCE_OR_DERIVED,READ_OK,48,10,0,0,6.4583,0,0,4d22ee942f451278842289457d31208453a86adc0dc9aaa3a3f52f36535a85b4
01_Raw_Data/RBI/Sectoral_Credit/SIBCS30062026.xlsx :: SHEET=Statement 1,RBI_SOURCE_OR_DERIVED,READ_OK,58,10,0,1,21.0345,0,0,7109bae954a53a6c21ae24908fba463a58fe095697a89fcfeb2049bda68ef8de
01_Raw_Data/RBI/Sectoral_Credit/SIBCS30062026.xlsx :: SHEET=Statement 2,RBI_SOURCE_OR_DERIVED,READ_OK,48,10,0,0,6.4583,0,0,2394b9aca06e916e7938b57cf842e6c8a9ef1e1f53ec107ac0c11023e16d169e
01_Raw_Data/RBI/Sectoral_Credit/SIBCSJ26E31072026E.xlsx :: SHEET=Statement 1,RBI_SOURCE_OR_DERIVED,READ_OK,58,10,0,0,19.4828,0,0,18e43bd115494497dd7f65f55f3aa08256739558456fa3469328fc64dd3c5c9d
01_Raw_Data/RBI/Sectoral_Credit/SIBCSJ26E31072026E.xlsx :: SHEET=Statement 2,RBI_SOURCE_OR_DERIVED,READ_OK,48,10,0,0,6.4583,0,0,2ef07e0cd20e8d365d64af9626cba727bec4afe3cc22753755bd7b67932b952f
01_Raw_Data/RBI/Sectoral_Credit/TEST_RBI_Statements_I_II.xlsx :: SHEET=Statement 1,RBI_SOURCE_OR_DERIVED,READ_OK,58,10,0,0,19.4828,0,0,18e43bd115494497dd7f65f55f3aa08256739558456fa3469328fc64dd3c5c9d
01_Raw_Data/RBI/Sectoral_Credit/TEST_RBI_Statements_I_II.xlsx :: SHEET=Statement 2,RBI_SOURCE_OR_DERIVED,READ_OK,48,10,0,0,6.4583,0,0,2ef07e0cd20e8d365d64af9626cba727bec4afe3cc22753755bd7b67932b952f
01_Raw_Data/RBI/Sectoral_Credit/SIBC27022026.xlsx :: SHEET=Statement 1,RBI_SOURCE_OR_DERIVED,READ_OK,58,10,0,1,21.0345,0,0,49562f9a9e4ca4aede8a3e8ce2153ddd1258c4572807a4b074c23e2acbee6d95
01_Raw_Data/RBI/Sectoral_Credit/SIBC27022026.xlsx :: SHEET=Statement 2,RBI_SOURCE_OR_DERIVED,READ_OK,48,10,0,0,6.4583,0,0,3a74c8e735f850967232b4e2f5bbae6c259eb35bf03b9c78ef3abc999bbcbd89
01_Raw_Data/RBI/Sectoral_Credit/Industry_Wise_Deployment_Gross_Bank_Credit_2019_2026.xlsx :: SHEET=New Format (2019 Onwards),RBI_SOURCE_OR_DERIVED,READ_OK,52,11,2,3,22.028,0,0,ec13eb356e37f489ddd9c03243d519ad9ac0429629a5d7f6a4583dbedf23a874
01_Raw_Data/RBI/Sectoral_Credit/PR2019SIBC300126.xlsx :: SHEET=Statement 1,RBI_SOURCE_OR_DERIVED,READ_OK,58,10,0,1,21.0345,0,0,ad376810f6e3bd1845f04cda70ec3247bf6913d9957494280c5bc438b28ad52f
01_Raw_Data/RBI/Sectoral_Credit/PR2019SIBC300126.xlsx :: SHEET=Statement 2,RBI_SOURCE_OR_DERIVED,READ_OK,48,10,0,0,6.4583,0,0,2bafad61cfc6f6dadbaa82b8522f636d230105d6ed95c991ac035eda17537e5d
01_Raw_Data/RBI/Sectoral_Credit/RBI_Industry_Wise_Gross_Bank_Credit_1997_2007.xlsx.xlsx :: SHEET=Data from 1997-2007,RBI_SOURCE_OR_DERIVED,READ_OK,42,20,2,3,18.2143,0,0,14a6975c5f730c36d188ac9cf9058a557a92d47be5bec10ced9e7b0349fe9e6d
