dataset,file_role,read_status,rows,columns,duplicate_rows,empty_rows,missing_cells_pct,infinite_values,duplicate_columns,content_hash
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Project_RBI_Banking_Risk_Integrated.csv,LEGACY_DO_NOT_MODEL,READ_OK_utf-8-sig,10,36,0,0,1.1111,0,0,45459d4c121feca6347d5a3ea974ba8596417666dd9b7572cacca6dbc4342986
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Project_Banking_Risk_Features_Step3B.csv,LEGACY_DO_NOT_MODEL,READ_OK_utf-8-sig,10,47,0,0,0.8511,0,0,1d05f7b0b180de78c48614a34240941f1f545aa0d5bb0ee7b82d211e3c13cf69
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_RBI_Sector_Mapping.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,6,7,0,0,85.7143,0,0,ee85bb7a99dc461e82113dedf3a1930541735f0a9712196d601cf4379959441d
01_Raw_Data/Semiconductor/Semiconductor_Master/Ecosystem_Matrix_Audit.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,34,7,0,0,0.0,0,0,7c860a867f2bfb82ab405a7b31d94a5a27bce02928357e871fb5381a38e13934
01_Raw_Data/Semiconductor/Semiconductor_Master/Ecosystem_Feature_Selection_Audit.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,12,3,0,0,0.0,0,0,9ab75ad58072f7ee118ce1881313488a8e17c4fd8ae0117a4750f3b881e29776
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Baseline_Model_Performance.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,4,4,0,0,0.0,0,0,0ba946fcbf51f15cf978fe6f710b74bc6f98f236fcf8bac037cd8ded93d8d487
01_Raw_Data/Semiconductor/Semiconductor_Master/RBI_Credit_Features_For_Semiconductor_Model.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,42,18,0,0,2.2487,0,0,5eaddbfb02ed7ab31737cead7487f4562a54c89140840b52c7c78549c5157faf
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_RBI_NPA_Integrated_Master.csv,RAW_OR_SOURCE,READ_OK_utf-8-sig,8,19,0,0,72.3684,0,0,bc68e5901f75e2728e40679dc271f9ff3328b001eb34b866f9c101b570dba1d4
01_Raw_Data/Semiconductor/Semiconductor_Master/Manufacturing_Stress_Testing_Final.csv,FINAL_MFG_MATRIX,READ_OK_utf-8-sig,12,15,0,0,0.0,0,0,635c1b272aa5b3fb72f4128091435dfe9d66c2cef771932cdcb201c96d9e9905
01_Raw_Data/Semiconductor/Semiconductor_Master/Semiconductor_Project_Features.csv,LEGACY_DO_NOT_MODEL,READ_OK_utf-8-sig,10,37,0,0,1.0811,0,0,ae6c420bfd14b661798c6ad846593e1dc9ae1748066f6e9b4fe2221db4bf2846
