path,category,required,exists,size_bytes,sha256,previous_sha256,change_status
13_Continuous_Ingestion/06_Frozen_Model/artifacts/Frozen_Scaler_Parameters.csv,FROZEN_MODEL,True,True,725,0328e4e236f853ad6225df1ec99af68651e38cd48caa92783c4a3817261d4ce0,0328e4e236f853ad6225df1ec99af68651e38cd48caa92783c4a3817261d4ce0,UNCHANGED
13_Continuous_Ingestion/06_Frozen_Model/artifacts/Frozen_PCA_Components.csv,FROZEN_MODEL,True,True,1896,662209eb989975dab04e4c64265a3a94538f37cead840aff50a791a8de71ad8a,662209eb989975dab04e4c64265a3a94538f37cead840aff50a791a8de71ad8a,UNCHANGED
13_Continuous_Ingestion/06_Frozen_Model/artifacts/Frozen_Cluster_Centroids.csv,FROZEN_MODEL,True,True,1062,6973aea081c94c67094fa8161c7257081cc0cc441fd2f9b37fb54f9f95a07d33,6973aea081c94c67094fa8161c7257081cc0cc441fd2f9b37fb54f9f95a07d33,UNCHANGED
13_Continuous_Ingestion/06_Frozen_Model/artifacts/Frozen_Reference_PCA_Scores.csv,FROZEN_MODEL,True,True,5387,da9b8a7ffbf1ca2dbb06269bfca6a4f3412181b0d118ad795ae8e670e8bec359,da9b8a7ffbf1ca2dbb06269bfca6a4f3412181b0d118ad795ae8e670e8bec359,UNCHANGED
13_Continuous_Ingestion/07_Automated_Evaluation/Phase_13F_Method_Validation.json,METHOD_VALIDATION,True,True,3076,cb1dbd54a032b2d4d03540a573dd5247ce46cda0ddf3b05f8622f77549bb72d8,fd2648e20ee31220b11ad11b3637f89e37bdd65288cee4c93dfda4c66be35360,MODIFIED
13_Continuous_Ingestion/02_Candidates/Project_Discovery_Candidates.csv,RUNTIME_OUTPUT,False,True,290,dca388293fb5786771b885c83f65d5d3db6aaf51b6888a671fede3dd93744a04,dca388293fb5786771b885c83f65d5d3db6aaf51b6888a671fede3dd93744a04,UNCHANGED
13_Continuous_Ingestion/04_Verification/Verification_Queue.csv,RUNTIME_OUTPUT,False,True,201,e0c173f681f7c86927a53a7a41a461972aa304fee3edb0a7998dcd68acc6b475,e0c173f681f7c86927a53a7a41a461972aa304fee3edb0a7998dcd68acc6b475,UNCHANGED
13_Continuous_Ingestion/05_Canonicalization/Canonical_Staging.csv,RUNTIME_OUTPUT,False,True,385,2b103fd9f395d37d44cb092c251afe8cb7526d58c28dc9cb57a916c5cd62304a,2b103fd9f395d37d44cb092c251afe8cb7526d58c28dc9cb57a916c5cd62304a,UNCHANGED
13_Continuous_Ingestion/06_Frozen_Model/Frozen_Model_New_Project_Inference.csv,RUNTIME_OUTPUT,False,True,358,9ba2c5193166c6fc07ea3acf877871aeace346f1e58c98c43055e196300d5bfc,9ba2c5193166c6fc07ea3acf877871aeace346f1e58c98c43055e196300d5bfc,UNCHANGED
13_Continuous_Ingestion/07_Automated_Evaluation/New_Project_Evaluation_Register.csv,RUNTIME_OUTPUT,False,True,308,d08482e77751177e6fec9bc0cf7a844313261c0c626881167a40648f65074ee0,d08482e77751177e6fec9bc0cf7a844313261c0c626881167a40648f65074ee0,UNCHANGED
