scenario_1,scenario_2,spearman_rho,p_value
1,2,0.9790209790209792,3.0898013985487064e-08
1,3,0.8741258741258742,0.0002007130733242317
1,4,1.0,0.0
1,5,0.9790209790209792,3.0898013985487064e-08
1,6,0.8741258741258742,0.0002007130733242317
1,7,0.8951048951048951,8.36658642909172e-05
1,8,0.8321678321678322,0.0007854416778536138
1,9,0.6923076923076924,0.0125930304960941
1,10,0.8951048951048951,8.36658642909172e-05
1,11,0.8321678321678322,0.0007854416778536138
1,12,0.6923076923076924,0.0125930304960941
1,13,0.8951048951048951,8.36658642909172e-05
1,14,0.8321678321678322,0.0007854416778536138
1,15,0.6923076923076924,0.0125930304960941
1,16,0.8951048951048951,8.36658642909172e-05
1,17,0.8321678321678322,0.0007854416778536138
1,18,0.6923076923076924,0.0125930304960941
1,19,1.0,0.0
1,20,0.9790209790209792,3.0898013985487064e-08
1,21,0.8741258741258742,0.0002007130733242317
1,22,1.0,0.0
1,23,0.9790209790209792,3.0898013985487064e-08
1,24,0.8741258741258742,0.0002007130733242317
1,25,0.8951048951048951,8.36658642909172e-05
1,26,0.8321678321678322,0.0007854416778536138
1,27,0.6923076923076924,0.0125930304960941
1,28,0.8951048951048951,8.36658642909172e-05
1,29,0.8321678321678322,0.0007854416778536138
1,30,0.6923076923076924,0.0125930304960941
1,31,0.8951048951048951,8.36658642909172e-05
1,32,0.8321678321678322,0.0007854416778536138
1,33,0.6923076923076924,0.0125930304960941
1,34,0.8951048951048951,8.36658642909172e-05
1,35,0.8321678321678322,0.0007854416778536138
1,36,0.6923076923076924,0.0125930304960941
1,37,1.0,0.0
1,38,0.9790209790209792,3.0898013985487064e-08
1,39,0.8741258741258742,0.0002007130733242317
1,40,1.0,0.0
1,41,0.9790209790209792,3.0898013985487064e-08
1,42,0.8741258741258742,0.0002007130733242317
1,43,0.8951048951048951,8.36658642909172e-05
1,44,0.8321678321678322,0.0007854416778536138
1,45,0.6923076923076924,0.0125930304960941
1,46,0.8951048951048951,8.36658642909172e-05
1,47,0.8321678321678322,0.0007854416778536138
1,48,0.6923076923076924,0.0125930304960941
1,49,0.8951048951048951,8.36658642909172e-05
1,50,0.8321678321678322,0.0007854416778536138
1,51,0.6923076923076924,0.0125930304960941
1,52,0.8951048951048951,8.36658642909172e-05
1,53,0.8321678321678322,0.0007854416778536138
1,54,0.6923076923076924,0.0125930304960941
1,55,1.0,0.0
1,56,0.9790209790209792,3.0898013985487064e-08
1,57,0.8741258741258742,0.0002007130733242317
1,58,1.0,0.0
1,59,0.9790209790209792,3.0898013985487064e-08
1,60,0.8741258741258742,0.0002007130733242317
1,61,0.8951048951048951,8.36658642909172e-05
1,62,0.8321678321678322,0.0007854416778536138
1,63,0.6923076923076924,0.0125930304960941
1,64,0.8951048951048951,8.36658642909172e-05
1,65,0.8321678321678322,0.0007854416778536138
1,66,0.6923076923076924,0.0125930304960941
1,67,0.8951048951048951,8.36658642909172e-05
1,68,0.8321678321678322,0.0007854416778536138
1,69,0.6923076923076924,0.0125930304960941
1,70,0.8951048951048951,8.36658642909172e-05
1,71,0.8321678321678322,0.0007854416778536138
1,72,0.6923076923076924,0.0125930304960941
1,73,1.0,0.0
1,74,0.9790209790209792,3.0898013985487064e-08
1,75,0.8741258741258742,0.0002007130733242317
1,76,1.0,0.0
1,77,0.9790209790209792,3.0898013985487064e-08
1,78,0.8741258741258742,0.0002007130733242317
1,79,0.8951048951048951,8.36658642909172e-05
1,80,0.8321678321678322,0.0007854416778536138
1,81,0.6923076923076924,0.0125930304960941
1,82,0.8951048951048951,8.36658642909172e-05
1,83,0.8321678321678322,0.0007854416778536138
1,84,0.6923076923076924,0.0125930304960941
1,85,0.8951048951048951,8.36658642909172e-05
1,86,0.8321678321678322,0.0007854416778536138
1,87,0.6923076923076924,0.0125930304960941
1,88,0.8951048951048951,8.36658642909172e-05
1,89,0.8321678321678322,0.0007854416778536138
1,90,0.6923076923076924,0.0125930304960941
1,91,1.0,0.0
1,92,0.9790209790209792,3.0898013985487064e-08
1,93,0.8741258741258742,0.0002007130733242317
1,94,1.0,0.0
1,95,0.9790209790209792,3.0898013985487064e-08
1,96,0.8741258741258742,0.0002007130733242317
1,97,0.8951048951048951,8.36658642909172e-05
1,98,0.8321678321678322,0.0007854416778536138
1,99,0.6923076923076924,0.0125930304960941
1,100,0.8951048951048951,8.36658642909172e-05
1,101,0.8321678321678322,0.0007854416778536138
1,102,0.6923076923076924,0.0125930304960941
1,103,0.8951048951048951,8.36658642909172e-05
1,104,0.8321678321678322,0.0007854416778536138
1,105,0.6923076923076924,0.0125930304960941
1,106,0.8951048951048951,8.36658642909172e-05
1,107,0.8321678321678322,0.0007854416778536138
1,108,0.6923076923076924,0.0125930304960941
1,109,1.0,0.0
1,110,0.9790209790209792,3.0898013985487064e-08
1,111,0.8741258741258742,0.0002007130733242317
1,112,1.0,0.0
1,113,0.9790209790209792,3.0898013985487064e-08
1,114,0.8741258741258742,0.0002007130733242317
1,115,0.8951048951048951,8.36658642909172e-05
1,116,0.8321678321678322,0.0007854416778536138
1,117,0.6923076923076924,0.0125930304960941
1,118,0.8951048951048951,8.36658642909172e-05
1,119,0.8321678321678322,0.0007854416778536138
1,120,0.6923076923076924,0.0125930304960941
1,121,0.8951048951048951,8.36658642909172e-05
1,122,0.8321678321678322,0.0007854416778536138
1,123,0.6923076923076924,0.0125930304960941
1,124,0.8951048951048951,8.36658642909172e-05
1,125,0.8321678321678322,0.0007854416778536138
1,126,0.6923076923076924,0.0125930304960941
1,127,1.0,0.0
1,128,0.9790209790209792,3.0898013985487064e-08
1,129,0.8741258741258742,0.0002007130733242317
1,130,1.0,0.0
1,131,0.9790209790209792,3.0898013985487064e-08
1,132,0.8741258741258742,0.0002007130733242317
1,133,0.8951048951048951,8.36658642909172e-05
1,134,0.8321678321678322,0.0007854416778536138
1,135,0.6923076923076924,0.0125930304960941
1,136,0.8951048951048951,8.36658642909172e-05
1,137,0.8321678321678322,0.0007854416778536138
1,138,0.6923076923076924,0.0125930304960941
1,139,0.8951048951048951,8.36658642909172e-05
1,140,0.8321678321678322,0.0007854416778536138
1,141,0.6923076923076924,0.0125930304960941
1,142,0.8951048951048951,8.36658642909172e-05
1,143,0.8321678321678322,0.0007854416778536138
1,144,0.6923076923076924,0.0125930304960941
1,145,1.0,0.0
1,146,0.9790209790209792,3.0898013985487064e-08
1,147,0.8741258741258742,0.0002007130733242317
1,148,1.0,0.0
1,149,0.9790209790209792,3.0898013985487064e-08
1,150,0.8741258741258742,0.0002007130733242317
1,151,0.8951048951048951,8.36658642909172e-05
1,152,0.8321678321678322,0.0007854416778536138
1,153,0.6923076923076924,0.0125930304960941
1,154,0.8951048951048951,8.36658642909172e-05
1,155,0.8321678321678322,0.0007854416778536138
1,156,0.6923076923076924,0.0125930304960941
1,157,0.8951048951048951,8.36658642909172e-05
1,158,0.8321678321678322,0.0007854416778536138
1,159,0.6923076923076924,0.0125930304960941
1,160,0.8951048951048951,8.36658642909172e-05
1,161,0.8321678321678322,0.0007854416778536138
1,162,0.6923076923076924,0.0125930304960941
2,3,0.9440559440559443,3.927261080965951e-06
2,4,0.9790209790209792,3.0898013985487064e-08
2,5,1.0,0.0
