k,silhouette,calinski_harabasz,davies_bouldin,inertia,smallest_cluster,largest_cluster
2,0.26816190443451066,11.019031990608907,1.5021883025152525,277.52688186132593,10,26
3,0.2336056550746216,9.49658623789961,1.362045549516991,233.23295453913357,5,21
4,0.2762722378728463,9.643433799226171,1.110432098013927,192.99183858076043,3,22
5,0.29761619945824785,10.516248860872533,1.1716258641664008,155.91023420309062,3,17
6,0.3259426647300066,11.314208621862397,1.0204899982181488,127.34177405424992,2,14
