ecosystem_id,cluster,PC1,PC2
MFG-0001,2,1.0264708080301217,0.1503819062586876
MFG-0002,3,4.049989499997996,2.10236389062338
MFG-0003,1,2.231249401497603,1.5556757098155285
MFG-0004,1,3.364774228462403,-0.9073901445804071
MFG-0005,1,3.267577006216881,-1.1752987979692802
MFG-0006,1,2.6922537584679858,-1.052533871662879
MFG-0007,2,0.11246769942403538,-0.6645063665118969
MFG-0008,3,2.527763120200996,-0.6560157058559306
MFG-0009,2,-0.05272926586604915,-1.0667172860526355
MFG-0010,1,2.384580886289558,-1.8565482318011497
MFG-0011,3,1.9156324690307878,-0.11618264163618668
MFG-0012,1,1.7900418575633472,-1.3163996798256834
DLI-001,2,-1.3230595551329414,-1.1319397464354335
DLI-002,4,-0.9439487666580147,1.2075062247361328
DLI-003,4,-0.65235709992145,2.0112321849027515
DLI-004,0,-1.651335418244253,-0.6125121996433036
DLI-005,2,-1.1529644162032784,-0.6630996030049066
DLI-006,2,-0.9315583302832676,0.08299732036866836
DLI-007,2,-0.4996711938366753,0.0918006707995164
DLI-008,2,-0.2566781382228714,0.7615723042716982
DLI-009,2,-1.2987602495715613,-1.064962583088216
DLI-010,0,-1.169375540925988,-0.695548277158744
DLI-011,2,-1.2015630273260396,-0.7970539296993429
DLI-012,2,-1.173465555479586,-0.19767760888104532
DLI-013,2,-0.5201723331129826,0.5572226649233774
DLI-014,4,-1.1588443504253652,1.1371109120822487
DLI-015,0,-1.1236287382381498,0.3053729257027273
DLI-016,4,-0.3291485535808074,3.883070680880526
DLI-017,4,-0.2805499424580466,4.017025007574962
DLI-018,0,-1.71150776922505,-1.0359976865408618
DLI-019,0,-2.1218079359778486,-1.1211263268731024
DLI-020,2,-0.743561780679177,0.22050950288806162
DLI-021,2,-0.8891411480619769,-0.04826683478831477
DLI-022,2,-1.3649980544639804,-0.19094149838166807
DLI-023,2,-1.1518046680698117,-0.7849326180757839
DLI-024,2,-1.6601689032165499,-0.928190267361493
