,PC1,PC2,PC3,PC4,PC5,PC6,PC7
z_financial_rank_within_scope,0.16815556424528716,0.4634940149112817,0.25853301498601067,-0.05015602073236739,0.029980497118177657,0.24444823176142594,0.5361957340927577
z_state_financial_share_within_scope,0.21865267705113534,0.003921312123710207,0.4080700005011324,0.3287978418274504,0.008928886200928642,0.6321216866262648,-0.13241256571452076
z_company_project_count,0.1758730631348482,0.5686826139541095,0.021532916801004907,-0.02639079558864492,-0.04403177741708136,-0.17872911703422073,0.21107182233079252
z_is_manufacturing,0.5232393646457095,-0.16411046798800752,-0.036764923979662044,-0.031019158348965886,0.009740490223300228,-0.09839600684696087,-0.07816024852687589
z_is_fab,0.29947908676789686,0.07441753124854278,0.18471821305697178,0.3031612774129224,0.6055156994343543,-0.3356060900950433,-0.15516585406709466
z_is_osat,0.4113475598308585,-0.1971844120077982,-0.12179275806945881,-0.2617920560661698,-0.4525101000429655,0.16055512097068142,0.13838439623333582
z_is_ai_related,-0.0948206603745434,0.5479843011290554,-0.14296197765240143,-0.020694343612425125,-0.2536367466009428,-0.04092496448259541,-0.45113176144485106
z_is_telecom_related,-0.21630055955462577,-0.2064519763177387,0.10928685368759407,0.631024618703573,-0.2590261237873556,-0.0649659165562,0.28829717621202633
z_is_automotive_related,-0.13951521841785466,-0.05796764760936133,-0.41915563161599056,-0.2155180824760392,0.5329679342883376,0.37646330434429925,0.2888889042602203
z_is_iot_related,-0.2049211216424953,-0.12124652054128882,0.46732059017970096,-0.31837707954087996,-0.028571450174885937,-0.3863883698075611,0.34162385454108657
z_is_medical_related,-0.12000723001289793,-0.08829996459677147,0.537510194208377,-0.41828651946150064,0.0963068472390915,0.17916571160185782,-0.33495738844757755
z_has_technology_partner,0.4781983065340467,-0.1471021263266358,-0.022158626231849162,-0.07668052877721877,0.0009108834559802393,-0.17780776749446467,0.0455937286543106
