feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7
financial_rank_within_scope,0.1681555642452871,0.4634940149112817,0.2585330149860106,-0.0501560207323673,0.0299804971181776,0.2444482317614259,0.5361957340927577
state_financial_share_within_scope,0.2186526770511353,0.0039213121237102,0.4080700005011324,0.3287978418274504,0.0089288862009286,0.6321216866262648,-0.1324125657145207
company_project_count,0.1758730631348482,0.5686826139541095,0.0215329168010049,-0.0263907955886449,-0.0440317774170813,-0.1787291170342207,0.2110718223307925
is_manufacturing,0.5232393646457095,-0.1641104679880075,-0.036764923979662,-0.0310191583489658,0.0097404902233002,-0.0983960068469608,-0.0781602485268758
is_fab,0.2994790867678968,0.0744175312485427,0.1847182130569717,0.3031612774129224,0.6055156994343543,-0.3356060900950433,-0.1551658540670946
is_osat,0.4113475598308585,-0.1971844120077982,-0.1217927580694588,-0.2617920560661698,-0.4525101000429655,0.1605551209706814,0.1383843962333358
is_ai_related,-0.0948206603745434,0.5479843011290554,-0.1429619776524014,-0.0206943436124251,-0.2536367466009428,-0.0409249644825954,-0.451131761444851
is_telecom_related,-0.2163005595546257,-0.2064519763177387,0.109286853687594,0.631024618703573,-0.2590261237873556,-0.0649659165562,0.2882971762120263
is_automotive_related,-0.1395152184178546,-0.0579676476093613,-0.4191556316159905,-0.2155180824760392,0.5329679342883376,0.3764633043442992,0.2888889042602203
is_iot_related,-0.2049211216424953,-0.1212465205412888,0.4673205901797009,-0.3183770795408799,-0.0285714501748859,-0.3863883698075611,0.3416238545410865
is_medical_related,-0.1200072300128979,-0.0882999645967714,0.537510194208377,-0.4182865194615006,0.0963068472390915,0.1791657116018578,-0.3349573884475775
has_technology_partner,0.4781983065340467,-0.1471021263266358,-0.0221586262318491,-0.0766805287772187,0.0009108834559802,-0.1778077674944646,0.0455937286543106
