feature,mean,scale_ddof0
financial_rank_within_scope,0.5277777777777779,0.28834082627814855
state_financial_share_within_scope,0.32017989052629175,0.26696870514372395
company_project_count,1.1111111111111112,0.3142696805273545
is_manufacturing,0.3333333333333333,0.4714045207910317
is_fab,0.08333333333333333,0.27638539919628335
is_osat,0.16666666666666666,0.37267799624996495
is_ai_related,0.1388888888888889,0.34583054438857597
is_telecom_related,0.16666666666666666,0.37267799624996495
is_automotive_related,0.08333333333333333,0.2763853991962833
is_iot_related,0.1111111111111111,0.31426968052735443
is_medical_related,0.05555555555555555,0.2290614236454256
has_technology_partner,0.16666666666666666,0.37267799624996495
