source,page,company_raw,state,project_type,investment_crore,capacity_raw,approval_date,data_quality_flag
MeitY Annual Report 2025-26,197,Visvesvaraya PhD Scheme for Electronics; Ministry of Electronics; Information Technology,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2025-26,306,Emerging Technology; STPI in association with the Ministry of Electronics; Indian Electronics; RAnnEuaPl ORT Ministry of Electronics; Information Technology,Punjab,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2024-25,12,Large Scale Electronics; Modified Electronics; REPORT Ministry of Electronics; Information Technology,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2024-25,83,Diploma level as a step towards creation of Talent pool Annual Ministry of Electronics; Information Technology,,Advanced Packaging; Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2024-25,84,Applied Materials Inc.; Electronics design and technology specific curriculums in Diploma and Information Technology; Ministry of Finance has decided to exempt the Electronics; Dot Compulsory Safety Standards for Electronics; Electronics and Information Technology,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2024-25,93,A virtual meeting of the Technology; International Projects Technology; Weather Extremes & Climate Modeling and Quantum Technologies; India-Argentina Centre of Excellence in Information Technology; C-DAC Delhi with financial assistance from the Annual Ministry of Electronics,,Compound Semiconductor; Advanced Packaging,,,,MEDIUM
MeitY Annual Report 2024-25,145,Medi-Electronics; SMEs and funding and eco-system required for their startups with a clutch of IP related services. success and growth. The Medi-Electronics; AMTZ as in- curated for ICT based innovators. These dustry and seed funding partner and Kalam service along with handling IPR queries and Institute of Health Technology; Emerging has been setup across India. MeitY has initiated the Technologies; Cy- Technology,Odisha,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2024-25,174,Scheme of Financial Assistance for setting up of Lakh. Electronics; REPORT Ministry of Electronics; Information Technology,,Semiconductor Design,,,,MEDIUM
MeitY Annual Report 2024-25,281,Production Linked Incentive for Large Scale Electronics; Annual Ministry of Electronics; Information Technology,,Semiconductor Fab; OSAT; ATMP; Display Fab; Compound Semiconductor; Advanced Packaging; Semiconductor Design,,,,MEDIUM
ISM Approved Projects,4,,,Semiconductor Fab; OSAT; ATMP; Display Fab; Compound Semiconductor; Advanced Packaging; Semiconductor Design,,,,LOW
ISM Approved Projects,5,,,OSAT; ATMP; Advanced Packaging; Semiconductor Design,,,,LOW
ISM Approved Projects,6,,,Semiconductor Design,,,,LOW
ISM Approved Projects,7,Advancing Indigenous Microprocessors and Core Semiconductor Technologies; Specialised academic programmes have been introduced to integrate semiconductor education into mainstream engineering. These include a B Tech in Electronics,,Advanced Packaging; Semiconductor Design,,,,MEDIUM
ISM Approved Projects,8,,,ATMP; Advanced Packaging; Semiconductor Design,,,,LOW
