source,document,page,company_raw,state,project_type,investment_crore,capacity_raw,approval_date,matched_terms,data_quality_flag
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,302,NIELIT had already signed a MoU with Kyndryl Solutions Private Limited; NIELIT had already signed a MoU with Kyndryl Solutions; MoU with Infineon Technologies; NIELIT has signed a MoU with Infineon Technologies; MoU with with the Indian Institute of Drone Technology,Uttar Pradesh,Semiconductor Design,860686.78,,,"crore, semiconductor",HIGH
MeitY Annual Report 2025-26,MeitY_Annual_Report_2025_26.pdf,306,Emerging Technology; STPI in association with the Ministry of Electronics; Indian Electronics; RAnnEuaPl ORT Ministry of Electronics; Information Technology,Punjab,Semiconductor Design,,,,"crore, semiconductor",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,12,Large Scale Electronics; Modified Electronics; REPORT Ministry of Electronics; Information Technology,,Semiconductor Design,,,,"approved, crore, semiconductor, display",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,44,Electronics and Information Technology; Create Awareness and wide publicity including and Emerging Technologies; REPORT Ministry of Electronics; Information Technology,Odisha; Uttar Pradesh,Semiconductor Design,3.88,,,"crore, semiconductor",HIGH
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,68,Make in India Electronics; Growth of Electronics; The government has taken Electronics; Hearables Auto Electronics; Components Electronics,,,,,,"crore, semiconductor",LOW
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,69,Consumer Electronics; Programmes of Government and Industrial Electronics; India. mobile handsets is being met from domestic GoI launched the Scheme for Promotion of manufacturing. Manufacturing of Electronic Components and b. Information & Communication Technology; Communication Technology; India has a huge opportunity arising from both Assembly of Mobile handsets with the intention to import substitution and export-led manufacturing strengthen the domestic Electronics,,ATMP; Semiconductor Design,,,,"crore, semiconductor, ATMP",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,77,It shall offer financial Annual Ministry of Electronics; Information Technology,,Semiconductor Fab; OSAT; ATMP; Display Fab; Compound Semiconductor; Advanced Packaging; Semiconductor Design,522.17,,,"investment, proposed investment, total investment, approved, crore, semiconductor, ATMP, OSAT, fab, fabrication, display, project cost",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,78,Micron Technology Inc.; Tata Electronics Private Limited; Ministry of Electronics; Information Technology; Micron Technology,,Semiconductor Fab; OSAT; ATMP; Display Fab; Compound Semiconductor; Advanced Packaging; Semiconductor Design,15.0,,,"approved, crore, semiconductor, ATMP, OSAT, fab, fabrication, display",MEDIUM
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,79,Aryabhata Circuits and iii. Tata Electronics Private Limited; The semiconductor manufacturing facilities will generate direct employment of about iv. CG Power and Industrial Solutions Limited; Investment Promotion to Attract Investment in be set up as joint venture partnership with ESDM Sector Renesas Electronics America Inc.; Kaynes Technology India Limited; The Technol- includes online meetings with possible investors and in- ogy would be provided by ISO Technology depth presentations outlining the advantages of these Sdn. Bhd. and Aptos Technology Inc.,Gujarat,OSAT; Semiconductor Design,27120.0,"15.07; 6.33; 15.07; 50,000; 48",February 2024,"investment, approved, crore, semiconductor, OSAT, fab, display",HIGH
MeitY Annual Report 2024-25,MeitY_Annual_Report_2024_25.pdf,81,TATA Electronics; KAS Technologies; Shri Sushil Pal addressed the session wherein he highlighted that the global winds of trade dynamics present an opportune window for leapfrogging India-Taiwan industrial partnership to the next level. Annual Ministry of Electronics; Information Technology,,,,,,"investment, semiconductor",LOW
