sector_code,sector,credit_2019_crore,credit_2020_crore,credit_2021_crore,credit_2022_crore,credit_2023_crore,credit_2024_crore,credit_2025_crore,credit_2026_crore,credit_growth_2019_2020_pct,credit_growth_2020_2021_pct,credit_growth_2021_2022_pct,credit_growth_2022_2023_pct,credit_growth_2023_2024_pct,credit_growth_2024_2025_pct,credit_growth_2025_2026_pct,credit_growth_2019_2026_pct,credit_cagr_2019_2026_pct,credit_growth_volatility_pct,negative_growth_years,positive_growth_years
2.2.4,Others,95064.95,95254.53,107007.9207,123127.27073,134930.156072,157087.5963,164992.0098,189092.1108,0.1994215533695609,12.338930967377614,15.063698018384164,9.585922981986661,16.421414510316424,5.031850818383177,14.606829160523382,98.90833666877225,10.322656858858913,5.957729485872997,0,7
2.3,Beverage and Tobacco,14638.31,18025.49,17804.60937,18475.74327,23780.123777,31137.4711,35515.45461,40158.25845,23.139146527160605,-1.2253793378155242,3.769439059588886,28.709970849253974,30.9390623530563,14.060176871589292,13.072629622746646,174.33671270795608,15.507980280020185,12.208522884084807,1,6
2.4,Textiles,200939.28,193452.92,204971.7757,224314.895866,230275.235697,256047.9836,277267.0852,301868.4233,-3.7256827037500995,5.954345739521516,9.436967650761297,2.657130641275174,11.192149179650478,8.287158251223946,8.87279428867458,50.22867768810559,5.986464789363821,5.130885249581443,1,6
2.4.1,Cotton Textiles,91359.57,83046.06,86367.72814,88625.279138,90065.816094,99513.08708,107494.5958,110268.4446,-9.099769186742023,3.9997901646387612,2.6138825769974616,1.6254244500115034,10.489297044885548,8.020561872011411,2.580454188749104,20.697201836654866,2.72378869715888,6.202545052954712,1,6
2.4.2,Jute Textiles,1910.91,1944.26,2590.11184,3288.09319,3709.449733,4279.559436,4288.234703,4994.105944,1.7452417957936284,33.218388487136494,26.947923221724658,12.814616820516566,15.369117902533924,0.2027140206775302,16.460648492634512,161.34699928306406,14.710322980656887,12.082457265330255,0,7
2.4.3,Man-Made Textiles,29103.49,30064.6,34487.93404,37406.285376,39400.075626,45074.46841,49186.25942,52031.98385,3.3023874456293623,14.712765312028097,8.461948844529864,5.330094207320624,14.401984498363474,9.122217421620826,5.785608549128396,78.7826265853339,8.65418869781871,4.432424962687156,0,7
2.4.4,Other Textiles,78565.31,78398.0,81526.00171,94995.238162,97099.894245,107180.8687,116297.9953,134573.8889,-0.21295658350994895,3.989899882650061,16.521399516085754,2.2155385087943458,10.382065329097001,8.506300341266027,15.71471077627422,71.28919735695054,7.991605126578971,6.517628825861631,1,6
2.5,Leather and Leather Products,10489.53,10460.56,10737.49791,11877.34168,11947.5707,12587.81048,12979.84309,14147.20102,-0.2761801529715946,2.6474482245692377,10.615543579649444,0.5912856756344453,5.358744434967022,3.114382843806518,8.99362127805199,34.86973219963143,4.366042021915706,4.1178914494871925,1,6
2.6,Wood and Wood Products,13077.12,13622.18,15086.18251,17334.741726,21205.494054,23838.81498,27825.96738,31055.0612,4.168043116527187,10.747196924427671,14.90475946787415,22.32944908659551,12.418106926885187,16.725463926563002,11.604605783879851,137.47630365095677,13.151428216882689,5.618358198526664,0,7
2.7,Paper and Paper Products,32393.27,32592.86,37855.07604,41825.500609,44265.640695,46426.05713,52847.59392,58963.98515,0.6161465020357637,16.145303112399457,10.488486576554767,5.834096545098921,4.880571931367128,13.831751363288781,11.57364181850722,82.02541808838689,8.93356571726336,5.484865193747401,0,7
2.8,"Petroleum, Coal Products and Nuclear Fuels",75395.37,79997.34,79173.88612,106442.513209,149443.424272,132356.3024,154178.5291,204180.2297,6.103783295976939,-1.0293515759398963,34.44144076453475,40.39824856311658,-11.433839899773691,16.487485903051358,32.431040101289945,170.8126900895904,15.294836758037356,19.756701856316933,2,5
2.9,Chemicals and Chemical Products,171924.62,198941.33,184952.9264,203139.168898,224077.828124,249347.616,267814.87,307905.5671,15.714276407881545,-7.031421575396124,9.832903351130762,10.307544005220226,11.277237059802392,7.40622841968539,14.969556059377886,79.0933532963458,8.681146125290073,7.6137345639209535,1,6
2.9.1,Fertiliser,37630.14,47067.95,32413.7444,33936.919783,34648.190503,37569.36877,32011.20975,30585.68393,25.08045412533675,-31.13414882101302,4.6991651572349635,2.09586115813698,8.43096919230768,-14.79439022259622,-4.4532082077904045,-18.720249433034265,-2.917637253002059,17.88912060319266,3,4
2.9.2,Drugs and Pharmaceuticals,50732.58,56342.18,54077.22842,63931.07682,70687.329663,80832.23558,88524.29389,104391.4091,11.057194410376914,-4.019992801130523,18.221807381599533,10.568026035323076,14.351802459317064,9.51607765739344,17.92402346605151,105.76798794778423,10.858311297643453,7.519624747779134,1,6
2.9.3,Petro Chemicals,22966.75,26485.96,28011.68184,19708.024706,20778.83,25318.15427,28797.46146,36807.94201,15.323064865512093,5.760492880001333,-29.643550792236184,5.433346618821733,21.84590888899902,13.74234137645136,27.816620437626582,60.26621968715642,6.970282283163476,18.695073668075153,1,6
2.10,"Rubber, Plastic and their Products",46018.84,52571.78,56026.05774,76854.542552,84048.982548,90471.78341,103464.6135,112778.5823,14.239689657540255,6.570593082448406,37.17642406442143,9.361112248026494,7.641735411052686,14.36119594450691,9.002081470105704,145.07045875124186,13.661398364092147,10.641419443689442,0,7
2.11,Glass and Glassware,7965.62,6817.07,6582.735659,7146.366057,9573.382103,12090.21779,13442.79188,16286.83311,-14.418839964748509,-3.437464203829499,8.56225173236902,33.961541105534224,26.289932438937157,11.187342639259445,21.1566262082159,104.46409833760586,10.757684026737158,16.92648058190022,2,5
