Statement 1: Deployment of Gross Bank Credit by Major Sectors,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,source_file,source_sheet,Statement 2: Industry-wise Deployment of Gross Bank Credit
(Rs. Crore),,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
Sector,Outstanding as on,,,,,Variation (Year-on-Year),,Variation (Financial Year),,SIBCSJ26E31072026E.xlsx,Statement 1,
,"28.Jun,2024","4.Apr,2025","27.Jun,2025","31.Mar,2026","30.Jun,2026","27.Jun,2025 / 28.Jun,2024","30.Jun,2026 / 27.Jun,2025","27.Jun,2025 / 4.Apr,2025","30.Jun,2026 / 31.Mar,2026",SIBCSJ26E31072026E.xlsx,Statement 1,
  4.1. Consumer Durables,23871.694699,23200.658602,23194.879584,21961.925281,23047.198027,-2.8352202201561894,-0.6366989596353486,-0.02490885323187727,4.941610228220314,SIBCSJ26E31072026E.xlsx,Statement 1,
  4.2. Housing (Including Priority Sector Housing),2798565.20086,3010476.605355,3067119.906563,3355962.521179,3403805.521057,9.59615683138176,10.977256343110772,1.8815393252763786,1.4256118647353677,SIBCSJ26E31072026E.xlsx,Statement 1,
"  4.3. Advances against Fixed Deposits (Including FCNR              (B), NRNR Deposits etc.)",126653.253288,141842.08336,146276.661145,169107.20695,162623.080605,15.493804815560344,11.175001761761743,3.1264189582896167,-3.8343288035720215,SIBCSJ26E31072026E.xlsx,Statement 1,
"  4.4. Advances to Individuals against share, bonds, etc.",9357.035883,10079.513133,9885.671413,10545.96245,10339.428011,5.649604603530829,4.590043296435023,-1.9231258240576008,-1.9584219077131353,SIBCSJ26E31072026E.xlsx,Statement 1,
  4.5. Credit Card Outstanding,273044.230324,284366.260475,292601.722712,294460.779546,298280.400799,7.162756145695766,1.94075347006393,2.8960757240481483,1.297157896168409,SIBCSJ26E31072026E.xlsx,Statement 1,
  4.6. Education,121989.09727,137456.056824,139586.664109,155823.789461,158115.989982,14.425524274559628,13.27442416600118,1.5500279392766625,1.4710209069672828,SIBCSJ26E31072026E.xlsx,Statement 1,
  4.7. Vehicle Loans,588567.825022,622793.449718,642866.109349,738677.683697,754369.992296,9.225493140908684,17.344806535207567,3.223004294616279,2.1243783243134833,SIBCSJ26E31072026E.xlsx,Statement 1,
  4.8. Loans against gold jewellery4,114668.823935,206284.024542,276288.732682,461372.808453,535543.901343,140.94494318579058,93.83486838002726,33.93607832474047,16.076173439587485,SIBCSJ26E31072026E.xlsx,Statement 1,
  4.9. Other Personal Loans,1445181.83692,1535197.477836,1547402.04586,1731837.773534,1767460.000907,7.073172823556499,14.2211234394936,0.7949835900722926,2.05690324563767,SIBCSJ26E31072026E.xlsx,Statement 1,
Priority Sector (Memo),,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
  (i)     Agriculture and Allied Activities5,2142828.849688,2287794.295478,2274261.712379,2652747.004675,2727875.155211,6.133614577297529,19.94552519452546,-0.5915122319234677,2.8320887896056295,SIBCSJ26E31072026E.xlsx,Statement 1,
  (ii)    Micro and Small Enterprises6,2020474.203936,2239408.718898,2460012.146604,2896912.498024,3063533.718621,21.754197198447525,24.533276099882272,9.85096761678045,5.751682893793085,SIBCSJ26E31072026E.xlsx,Statement 1,
  (iii)   Medium Enterprises7,511466.698439,601450.822701,591991.769378,709162.716909,754991.261968,15.743951890663292,27.53408088110108,-1.5727060244960975,6.462345519058182,SIBCSJ26E31072026E.xlsx,Statement 1,
  (iv)   Housing,752910.64979,746651.293154,856626.123365,1043835.959677,1038823.940082,13.775269828355864,21.269234237369535,14.729075167933484,-0.4801539502960656,SIBCSJ26E31072026E.xlsx,Statement 1,
  (v)    Educational Loans,61269.027161,62825.537219,64354.618831,77289.145552,78696.484623,5.036136222453512,22.285682135205867,2.4338536201765573,1.8208754424036677,SIBCSJ26E31072026E.xlsx,Statement 1,
  (vi)   Renewable Energy,6050.18,10324.84,12562.78297,13010.67,15095.23,107.64312747719902,20.15832826251554,21.675328334385814,16.021926618690653,SIBCSJ26E31072026E.xlsx,Statement 1,
  (vii)  Social Infrastructure,1131.52,1316.48,828.16,1486.04,1306.75,-26.809954751131222,57.78955757341577,-37.09285367039378,-12.06495114532583,SIBCSJ26E31072026E.xlsx,Statement 1,
  (viii)  Export Credit,11776.578884999999,12478.775188000001,13256.742393999999,11435.530148,11833.297466999999,12.568705423315304,-10.737516689199992,6.234323435429114,3.4783461182126794,SIBCSJ26E31072026E.xlsx,Statement 1,
  (ix)   Others,60875.029425,49552.334361,46467.406241,44819.666828,42099.449383,-23.667542044888307,-9.400044485689369,-6.225595947762224,-6.069249589558778,SIBCSJ26E31072026E.xlsx,Statement 1,
  (x)    Weaker Sections including net PSLC- SF/MF,1666930.547585,1864606.180081,1825579.444345,2071082.657476,2104841.696551,9.517426925185681,15.297184303375872,-2.0930283377214143,1.6300189156207519,SIBCSJ26E31072026E.xlsx,Statement 1,
"Notes:
(1) Data are provisional.  Bank credit, Food credit and Non-food credit data are based on fortnightly Section-42 return, which covers all scheduled commercial banks (SCBs), while sectoral non-food credit data are based on sector-wise and industry-wise bank credit (SIBC) return, which covers select banks accounting for about 95 per cent of total non-food credit extended by all SCBs.  Data for the fortnights corresponding to the Section-42 fortnights are not available for the SIBC return. Therefore, reference periods (fortnights dates) considered for arriving sectoral non-food credit growth rates are different than the reference period for arriving growth rates of Section-42 data.      ",,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
"(2) With effect from December 31, 2025, definition of last reporting fortnight has been changed to the last day of the month under the Banking Laws (Amendment) Act 2025. Accordingly, the y-o-y growth rates from December 2025 onwards are based on end-of-month data for the current year and data for the last reporting fortnight (as per old definition) for the corresponding month of the previous year.",,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
1 Wholesale trade includes food procurement credit outside the food credit consortium.,,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
"2 NBFCs include HFCs, PFIs, Microfinance Institutions (MFIs), NBFCs engaged in gold loan and others.        ",,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
"3 “Other Services” include Mutual Fund (MFs), Banking and Finance other than NBFCs and MFs, and other services which are not indicated elsewhere under services.",,,,,,,,,,SIBCSJ26E31072026E.xlsx,Statement 1,
