sector_code,sector,year,credit_crore,credit_growth_pct
nan,Industries (2.1 to 2.19),2021,2940570.692,-0.21312775797557304
nan,Industries (2.1 to 2.19),2022,3181100.127314,8.179685527315318
nan,Industries (2.1 to 2.19),2023,3366405.867978,5.825209306456669
nan,Industries (2.1 to 2.19),2024,3682392.532,9.386469618168602
nan,Industries (2.1 to 2.19),2025,3985659.551,8.235597274451557
nan,Industries (2.1 to 2.19),2026,4584304.347,15.019968171887644
2.18,Infrastructure,2019,1044199.16,
2.18,Infrastructure,2020,1083656.43,3.7787111416561547
2.18,Infrastructure,2021,1111675.253,2.5855817604478304
2.18,Infrastructure,2022,1212648.014518,9.082936877969704
2.18,Infrastructure,2023,1223104.943332,0.8623218517499032
2.18,Infrastructure,2024,1326851.767,8.482250377091226
2.18,Infrastructure,2025,1364368.718,2.8275163762132793
2.18,Infrastructure,2026,1490126.394,9.217279342518614
2.13.1,Iron and Steel,2019,287648.22,
2.13.1,Iron and Steel,2020,251225.15,-12.662365857852343
2.13.1,Iron and Steel,2021,218852.728,-12.885820547823334
2.13.1,Iron and Steel,2022,185580.671762,-15.202943340966712
2.13.1,Iron and Steel,2023,228614.11499,23.18853726490908
2.13.1,Iron and Steel,2024,273802.5639,19.766254989101007
2.13.1,Iron and Steel,2025,300156.0398,9.624992375756204
2.13.1,Iron and Steel,2026,356663.3265,18.82597023123438
2.4.2,Jute Textiles,2019,1910.91,
2.4.2,Jute Textiles,2020,1944.26,1.7452417957936284
2.4.2,Jute Textiles,2021,2590.11184,33.218388487136494
2.4.2,Jute Textiles,2022,3288.09319,26.947923221724658
2.4.2,Jute Textiles,2023,3709.449733,12.814616820516566
2.4.2,Jute Textiles,2024,4279.559436,15.369117902533924
2.4.2,Jute Textiles,2025,4288.234703,0.2027140206775302
2.4.2,Jute Textiles,2026,4994.105944,16.460648492634512
2.5,Leather and Leather Products,2019,10489.53,
2.5,Leather and Leather Products,2020,10460.56,-0.2761801529715946
2.5,Leather and Leather Products,2021,10737.49791,2.6474482245692377
2.5,Leather and Leather Products,2022,11877.34168,10.615543579649444
2.5,Leather and Leather Products,2023,11947.5707,0.5912856756344453
2.5,Leather and Leather Products,2024,12587.81048,5.358744434967022
2.5,Leather and Leather Products,2025,12979.84309,3.114382843806518
2.5,Leather and Leather Products,2026,14147.20102,8.99362127805199
2.4.3,Man-Made Textiles,2019,29103.49,
2.4.3,Man-Made Textiles,2020,30064.6,3.3023874456293623
2.4.3,Man-Made Textiles,2021,34487.93404,14.712765312028097
2.4.3,Man-Made Textiles,2022,37406.285376,8.461948844529864
2.4.3,Man-Made Textiles,2023,39400.075626,5.330094207320624
2.4.3,Man-Made Textiles,2024,45074.46841,14.401984498363474
2.4.3,Man-Made Textiles,2025,49186.25942,9.122217421620826
2.4.3,Man-Made Textiles,2026,52031.98385,5.785608549128396
2.19,Other Industries,2019,161468.06,
2.19,Other Industries,2020,223620.5,38.49209558844022
2.19,Other Industries,2021,219105.7224,-2.018946205736949
2.19,Other Industries,2022,236392.293877,7.8896029221188435
2.19,Other Industries,2023,218756.513244,-7.460387284103376
2.19,Other Industries,2024,256370.6387,17.194516816075488
2.19,Other Industries,2025,300921.2914,17.377439525019977
2.19,Other Industries,2026,353413.3863,17.44379557052507
2.18.7,Other Infrastructure,2019,163936.69,
2.18.7,Other Infrastructure,2020,148848.9,-9.203424809906801
2.18.7,Other Infrastructure,2021,160400.3766,7.760538774555936
2.18.7,Other Infrastructure,2022,165968.672275,3.4714978811340336
2.18.7,Other Infrastructure,2023,166651.60823,0.4114848577377428
2.18.7,Other Infrastructure,2024,181384.7309,8.84067236222914
2.18.7,Other Infrastructure,2025,185725.9769,2.3933910966262184
2.18.7,Other Infrastructure,2026,178426.666,-3.930150763955953
2.13.2,Other Metal and Metal Product,2019,84106.57,
2.13.2,Other Metal and Metal Product,2020,83874.06,-0.2764468935066655
2.13.2,Other Metal and Metal Product,2021,86604.47072,3.255369681639353
2.13.2,Other Metal and Metal Product,2022,100548.531378,16.100855466321583
2.13.2,Other Metal and Metal Product,2023,114115.370332,13.492826566503613
2.13.2,Other Metal and Metal Product,2024,110644.6656,-3.0413998761977146
2.13.2,Other Metal and Metal Product,2025,133345.1146,20.51653270123852
2.13.2,Other Metal and Metal Product,2026,161398.9553,21.038521571753186
2.4.4,Other Textiles,2019,78565.31,
2.4.4,Other Textiles,2020,78398.0,-0.21295658350994895
2.4.4,Other Textiles,2021,81526.00171,3.989899882650061
2.4.4,Other Textiles,2022,94995.238162,16.521399516085754
2.4.4,Other Textiles,2023,97099.894245,2.2155385087943458
2.4.4,Other Textiles,2024,107180.8687,10.382065329097001
2.4.4,Other Textiles,2025,116297.9953,8.506300341266027
2.4.4,Other Textiles,2026,134573.8889,15.71471077627422
2.2.4,Others,2019,95064.95,
2.2.4,Others,2020,95254.53,0.1994215533695609
2.2.4,Others,2021,107007.9207,12.338930967377614
2.2.4,Others,2022,123127.27073,15.063698018384164
2.2.4,Others,2023,134930.156072,9.585922981986661
2.2.4,Others,2024,157087.5963,16.421414510316424
2.2.4,Others,2025,164992.0098,5.031850818383177
2.2.4,Others,2026,189092.1108,14.606829160523382
2.7,Paper and Paper Products,2019,32393.27,
2.7,Paper and Paper Products,2020,32592.86,0.6161465020357637
2.7,Paper and Paper Products,2021,37855.07604,16.145303112399457
2.7,Paper and Paper Products,2022,41825.500609,10.488486576554767
2.7,Paper and Paper Products,2023,44265.640695,5.834096545098921
2.7,Paper and Paper Products,2024,46426.05713,4.880571931367128
2.7,Paper and Paper Products,2025,52847.59392,13.831751363288781
2.7,Paper and Paper Products,2026,58963.98515,11.57364181850722
2.9.3,Petro Chemicals,2019,22966.75,
2.9.3,Petro Chemicals,2020,26485.96,15.323064865512093
2.9.3,Petro Chemicals,2021,28011.68184,5.760492880001333
2.9.3,Petro Chemicals,2022,19708.024706,-29.643550792236184
2.9.3,Petro Chemicals,2023,20778.83,5.433346618821733
2.9.3,Petro Chemicals,2024,25318.15427,21.84590888899902
2.9.3,Petro Chemicals,2025,28797.46146,13.74234137645136
2.9.3,Petro Chemicals,2026,36807.94201,27.816620437626582
